# Constructed from biom file														
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Trifolium;s__Trifolium_pratense"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5110,00	3326,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Securigera;s__Securigera_varia"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2383,00	1598,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Coreopsis;__"	0,00	0,00	0,00	980,00	1296,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Galega;s__Galega_orientalis"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2588,00	445,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;__;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1316,00	494,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;__;__;__;__"	0,00	0,00	0,00	73,00	218,00	0,00	0,00	0,00	0,00	677,00	1274,00	5,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Origanum;s__Origanum_vulgare"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1382,00	879,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Theaceae;g__Camellia;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5716,00	1937,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Poaceae_gen_Incertae_sedis;s__Poaceae_sp"	0,00	0,00	0,00	209,00	403,00	0,00	0,00	0,00	0,00	269,00	443,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber"	0,00	0,00	0,00	202,00	620,00	0,00	0,00	0,00	0,00	54,00	54,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Plantago;s__Plantago_major"	0,00	0,00	0,00	319,00	612,00	0,00	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Onagraceae;g__Epilobium;s__Epilobium_montanum"	0,00	0,00	0,00	258,00	695,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Cyperaceae;g__Bolboschoenus;s__Bolboschoenus_planiculmis"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	446,00	168,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;__;__"	30,00	0,00	0,00	143,00	172,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;__;__;__;__"	35,00	0,00	0,00	0,00	8,00	0,00	31,00	0,00	0,00	453,00	285,00	8,00	0,00	11,00
"k__Viridiplantae;__;__;__;__;__;__"	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	187,00	85,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Fabaceae_gen_Incertae_sedis;s__Fabaceae_sp"	0,00	0,00	0,00	243,00	178,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00
