# Constructed from biom file
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Trifolium;s__Trifolium_pratense	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5110,0	3326,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Securigera;s__Securigera_varia	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2383,0	1598,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Coreopsis;__	0,0	0,0	0,0	980,0	1296,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Galega;s__Galega_orientalis	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2588,0	445,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;__;__;__	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1316,0	494,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;__;__;__;__	0,0	0,0	0,0	73,0	218,0	0,0	0,0	0,0	0,0	677,0	1274,0	5,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Origanum;s__Origanum_vulgare	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1382,0	879,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Theaceae;g__Camellia;__	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5716,0	1937,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Poaceae_gen_Incertae_sedis;s__Poaceae_sp	0,0	0,0	0,0	209,0	403,0	0,0	0,0	0,0	0,0	269,0	443,0	0,0	0,0	0,0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber	0,0	0,0	0,0	202,0	620,0	0,0	0,0	0,0	0,0	54,0	54,0	0,0	0,0	0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Plantago;s__Plantago_major	0,0	0,0	0,0	319,0	612,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0
